system_variant,system_family,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,steel_volume,timber_volume,material_concrete_id,material_pt_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,source
cemex_bb_225_1900_a5,cemex_bb_225_1900_a,0.225,0.1,,,2.82,1.56,4,5.697,0.1175,0.0564,,concrete,pt,,,520,CEMEX_225_1900_A,
cemex_bb_225_1900_a6,cemex_bb_225_1900_a,0.225,0.1,,,2.82,1.56,5,5.358,0.1175,0.0564,,concrete,pt,,,520,CEMEX_225_1900_A,
cemex_bb_225_1900_b1,cemex_bb_225_1900_b,0.225,0.1,,,3.5,1.56,1.5,7.874,0.14583333,0.07,,concrete,pt,,,295,CEMEX_225_1900_B,
cemex_bb_225_1900_b2,cemex_bb_225_1900_b,0.225,0.1,,,3.5,1.56,2,7.719,0.14583333,0.07,,concrete,pt,,,295,CEMEX_225_1900_B,
cemex_bb_225_1900_b3,cemex_bb_225_1900_b,0.225,0.1,,,3.5,1.56,2.5,7.565,0.14583333,0.07,,concrete,pt,,,295,CEMEX_225_1900_B,
cemex_bb_225_1900_b4,cemex_bb_225_1900_b,0.225,0.1,,,3.5,1.56,3,7.419,0.14583333,0.07,,concrete,pt,,,295,CEMEX_225_1900_B,
cemex_bb_225_1900_b5,cemex_bb_225_1900_b,0.225,0.1,,,3.5,1.56,4,7.15,0.14583333,0.07,,concrete,pt,,,295,CEMEX_225_1900_B,
cemex_bb_225_1900_b6,cemex_bb_225_1900_b,0.225,0.1,,,3.5,1.56,5,6.798,0.14583333,0.07,,concrete,pt,,,295,CEMEX_225_1900_B,
cemex_bb_225_1900_c1,cemex_bb_225_1900_c,0.225,0.1,,,3.07,1.56,1.5,7.028,0.12791667,0.0614,,concrete,pt,,,408,CEMEX_225_1900_C,
cemex_bb_225_1900_c2,cemex_bb_225_1900_c,0.225,0.1,,,3.07,1.56,2,6.87,0.12791667,0.0614,,concrete,pt,,,408,CEMEX_225_1900_C,
cemex_bb_225_1900_c3,cemex_bb_225_1900_c,0.225,0.1,,,3.07,1.56,2.5,6.723,0.12791667,0.0614,,concrete,pt,,,408,CEMEX_225_1900_C,
cemex_bb_225_1900_c4,cemex_bb_225_1900_c,0.225,0.1,,,3.07,1.56,3,6.584,0.12791667,0.0614,,concrete,pt,,,408,CEMEX_225_1900_C,
cemex_bb_225_1900_c5,cemex_bb_225_1900_c,0.225,0.1,,,3.07,1.56,4,6.136,0.12791667,0.0614,,concrete,pt,,,408,CEMEX_225_1900_C,
cemex_bb_225_1900_c6,cemex_bb_225_1900_c,0.225,0.1,,,3.07,1.56,5,5.948,0.12791667,0.0614,,concrete,pt,,,408,CEMEX_225_1900_C,
cemex_bb_225_1900_d1,cemex_bb_225_1900_d,0.225,0.1,,,3.39,1.56,1.5,7.596,0.14125,0.0678,,concrete,pt,,,324,CEMEX_225_1900_D,
cemex_bb_225_1900_d2,cemex_bb_225_1900_d,0.225,0.1,,,3.39,1.56,2,7.435,0.14125,0.0678,,concrete,pt,,,324,CEMEX_225_1900_D,
cemex_bb_225_1900_d3,cemex_bb_225_1900_d,0.225,0.1,,,3.39,1.56,2.5,7.28,0.14125,0.0678,,concrete,pt,,,324,CEMEX_225_1900_D,
cemex_bb_225_1900_d4,cemex_bb_225_1900_d,0.225,0.1,,,3.39,1.56,3,7.14,0.14125,0.0678,,concrete,pt,,,324,CEMEX_225_1900_D,
cemex_bb_225_1900_d5,cemex_bb_225_1900_d,0.225,0.1,,,3.39,1.56,4,6.879,0.14125,0.0678,,concrete,pt,,,324,CEMEX_225_1900_D,
cemex_bb_225_1900_d6,cemex_bb_225_1900_d,0.225,0.1,,,3.39,1.56,5,6.52,0.14125,0.0678,,concrete,pt,,,324,CEMEX_225_1900_D,
cemex_bb_225_1900_e1,cemex_bb_225_1900_e,0.225,0.1,,,4.13,1.56,1.5,7.9,0.17208333,0.0826,,concrete,pt,,,211,CEMEX_225_1900_E,
cemex_bb_225_1900_e2,cemex_bb_225_1900_e,0.225,0.1,,,4.13,1.56,2,7.9,0.17208333,0.0826,,concrete,pt,,,211,CEMEX_225_1900_E,
cemex_bb_225_1900_e3,cemex_bb_225_1900_e,0.225,0.1,,,4.13,1.56,2.5,7.9,0.17208333,0.0826,,concrete,pt,,,211,CEMEX_225_1900_E,
cemex_bb_225_1900_e4,cemex_bb_225_1900_e,0.225,0.1,,,4.13,1.56,3,7.9,0.17208333,0.0826,,concrete,pt,,,211,CEMEX_225_1900_E,
cemex_bb_225_1900_e5,cemex_bb_225_1900_e,0.225,0.1,,,4.13,1.56,4,7.9,0.17208333,0.0826,,concrete,pt,,,211,CEMEX_225_1900_E,
cemex_bb_225_1900_e6,cemex_bb_225_1900_e,0.225,0.1,,,4.13,1.56,5,7.68,0.17208333,0.0826,,concrete,pt,,,211,CEMEX_225_1900_E,
milbank_bb_155_md_1,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,0.75,3.75,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_2,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,1.5,3.5,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_3,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,2,3.3,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_4,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,2.5,3.2,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_5,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,3,3.05,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_6,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,4,2.85,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_7,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,5,2.7,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_8,milbank_bb_155_md,0.155,0.1,,,1.78,1.8,7.5,2.35,0.07416667,0.0356,,concrete,pt,,,510,MILBANK_155MD_W,
milbank_bb_155_md_9,milbank_bb_155_md,0.155,0.1,,,1.88,1.8,0.75,4.2,0.07833333,0.0376,,concrete,pt,,,398,MILBANK_155MD_A,
